Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,tomates pelee,25.0,0.01125,19.225,4.575,0.4725,0.07,0.2675,0.07,0.47
Boulettes de viande à la marocaine - kefta b'matecha (Maroc),70.0,viande hachee,100.0,3.0,765.0,182.0,0.24,8.04,27.2,0.2,0.011
Boulettes de viande à la russe,17.0,ail,1.6666666666666667,0.0033333333333333,24.333333333333336,5.733333333333333,1.0466666666666666,0.0128333333333333,0.2783333333333333,0.0018333333333333,0.0405
Boulettes de viande à la russe,17.0,aneth,2.0,0.0054,4.04,0.964,0.078,0.022,0.0786,0.003,0.024
Boulettes de viande à la russe,17.0,carotte,20.83333333333333,0.0039583333333333,16.416666666666664,3.9375,0.5416666666666666,0.0208333333333333,0.1145833333333333,0.0106249999999999,0.2708333333333333
Boulettes de viande à la russe,17.0,concentre de tomate,2.0,0.0018599999999999,8.38,1.984,0.342,0.0106,0.088,0.0054,0.266
Boulettes de viande à la russe,17.0,farce,83.33333333333333,2.7,419.1666666666666,101.66666666666666,1.6666666666666663,8.058333333333332,4.575,0.5833333333333333,0.7333333333333333
Boulettes de viande à la russe,17.0,huile d'olive,2.5,0.38,92.5,22.5,0.0,2.4975,0.0,0.0,0.0
Boulettes de viande à la russe,17.0,oeuf,18.33333333333333,0.5481666666666667,105.41666666666666,25.3,0.1301666666666666,1.7361666666666666,2.2916666666666665,0.0366666666666666,0.0678333333333333
Boulettes de viande à la russe,17.0,oignon,16.666666666666668,0.0,28.16666666666667,6.700000000000001,1.1216666666666668,0.0,0.26,0.0,0.8333333333333335
Boulettes de viande à la russe,17.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Boulettes de viande à la russe,17.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Boulettes de viande à la russe,17.0,riz,33.333333333333336,0.0253333333333333,205.0,48.33333333333334,10.6,0.1366666666666666,1.0200000000000002,0.0,0.0
Boulettes de viande à la russe,17.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Boulettes de viande à la suédoise,18.0,beurre,2.0,1.108,62.0,15.06,0.018,1.658,0.0138,0.00126,0.0166
Boulettes de viande à la suédoise,18.0,boeuf hache,62.5,4.15625,601.875,144.375,0.001125,9.4375,14.875,0.13125,0.0
