Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Chou farci végétarien,10.0,champignon,31.25,0.0171875,28.5,6.78125,0.5875,0.071875,0.740625,0.00375,0.446875
Chou farci végétarien,10.0,chapelure,15.0,0.141,237.0,56.1,10.5,0.5655,1.905,0.273,1.035
Chou farci végétarien,10.0,chou,31.25,0.084375,46.5625,11.1875,0.6343749999999999,0.25,0.9375,0.0,0.5
Chou farci végétarien,10.0,epice,2.5,0.121,36.0,8.65,0.9425,0.26,0.31,0.0012,0.053500000000000006
Chou farci végétarien,10.0,huile d'olive,7.5,1.14,277.5,67.5,0.0,7.4925,0.0,0.0,0.0
Chou farci végétarien,10.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
Chou farci végétarien,10.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Chou farci végétarien,10.0,pignon,7.5,0.41475,,,0.47324999999999995,4.875,1.215,0.001725,0.39075000000000004
Chou farci végétarien,10.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Chou farci végétarien,10.0,ricotta,31.25,2.525,,,1.25,3.71875,2.690625,0.09375,0.703125
Chou farci végétarien,10.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Club sandwich végétarien,2.0,avocat,110.0,4.960999999999999,927.3,225.5,0.9129999999999999,22.66,1.716,0.0165,0.44
Club sandwich végétarien,2.0,crottin de chevre,125.0,24.5,1762.5,425.0,0.0,35.0,27.375,1.4625,0.0
Club sandwich végétarien,2.0,epinards frais,10.0,0.013000000000000001,11.7,2.81,0.0,0.07,0.33799999999999997,0.003,0.0
Club sandwich végétarien,2.0,moutarde,7.5,0.057,47.4,11.4,0.32475000000000004,0.84,0.519,0.4725,0.1245
Club sandwich végétarien,2.0,pain de mie,64.0,0.736,742.4,175.36,27.904,3.4624,6.1824,0.8256,2.8287999999999998
Club sandwich végétarien,2.0,tofu,100.0,1.35,617.0,148.0,2.87,8.5,14.7,0.025,0.57
Club sandwich végétarien,2.0,tomate,62.5,0.0,52.6875,12.5625,1.89375,0.0,0.3125,0.0,1.625
Club sandwich végétarien délicieux,2.0,avocat,110.0,4.960999999999999,927.3,225.5,0.9129999999999999,22.66,1.716,0.0165,0.44
Club sandwich végétarien délicieux,2.0,fromage frais,2.0,0.0768,,,0.418,0.1036,0.0774,0.0054,0.37799999999999995
Club sandwich végétarien délicieux,2.0,jus de citron,2.0,0.00052,,,0.0248,0.0046,0.005,0.00052,0.0248
Club sandwich végétarien délicieux,2.0,mayonnaise,2.0,0.1454,,,0.0524,1.504,0.027200000000000002,0.0278,0.0206
Club sandwich végétarien délicieux,2.0,oeuf,55.0,1.6445,316.25,75.9,0.39049999999999996,5.2085,6.875,0.11,0.20350000000000001
Club sandwich végétarien délicieux,2.0,pain de mie,64.0,0.736,742.4,175.36,27.904,3.4624,6.1824,0.8256,2.8287999999999998
Courgettes rondes farcies (végétariennes),9.0,courgette,300.0,0.3,194.7,46.5,4.2,1.08,2.79,0.29400000000000004,4.169999999999999
Courgettes rondes farcies (végétariennes),9.0,creme fraiche,62.5,0.30625,750.0,176.875,33.625,1.16875,6.9375,0.21875,1.5875
Courgettes rondes farcies (végétariennes),9.0,feta marinee,60.0,8.58,,,1.5,13.68,8.7,1.5539999999999998,0.6779999999999999
Courgettes rondes farcies (végétariennes),9.0,huile d'olive,2.0,0.304,74.0,18.0,0.0,1.9980000000000002,0.0,0.0,0.0
Courgettes rondes farcies (végétariennes),9.0,oeuf,41.25,1.233375,237.1875,56.925,0.292875,3.9063750000000006,5.15625,0.0825,0.15262499999999998
Courgettes rondes farcies (végétariennes),9.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Courgettes rondes farcies (végétariennes),9.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Courgettes rondes farcies (végétariennes),9.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Couscous végétarien (couscoussier),6.0,ail,30.0,0.06,438.0,103.2,18.84,0.231,5.01,0.033,0.7290000000000001
Couscous végétarien (couscoussier),6.0,carotte,62.5,0.011875,49.25,11.8125,1.625,0.0625,0.34375,0.031875,0.8125
Couscous végétarien (couscoussier),6.0,coriandre,2.0,0.00028000000000000003,1.8519999999999999,0.446,0.0174,0.0104,0.0426,0.0024,0.0174
Couscous végétarien (couscoussier),6.0,courgette,50.0,0.05,32.45,7.75,0.7,0.18,0.465,0.049,0.695
Couscous végétarien (couscoussier),6.0,couscou,62.5,0.15625,416.875,98.125,19.375,0.625,3.125,0.0,1.0
Couscous végétarien (couscoussier),6.0,cumin,2.0,0.0308,35.6,8.54,0.674,0.446,0.35600000000000004,0.0084,0.045
Couscous végétarien (couscoussier),6.0,haricots vert,62.5,0.02625,95.0,22.6875,3.1875,0.11875,1.21875,0.002375,0.76875
Couscous végétarien (couscoussier),6.0,oignon,125.0,0.0,211.25,50.25,8.4125,0.0,1.95,0.0,6.25
Couscous végétarien (couscoussier),6.0,petits poi,37.5,0.018375000000000002,,,2.98125,0.10125,1.93125,0.0675,1.74375
Couscous végétarien (couscoussier),6.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Couscous végétarien (couscoussier),6.0,poivron rouge,37.5,0.0,56.625,13.3875,2.44875,0.0,0.3525,0.0,2.2875
Couscous végétarien (couscoussier),6.0,poivron vert,37.5,0.0375,45.0,10.725,1.32375,0.1125,0.46875,0.0,1.1625
Couscous végétarien (couscoussier),6.0,pommes de terre,43.75,0.011375,170.625,40.206250000000004,8.793750000000001,0.04375,0.8575,0.001575,0.74375
Couscous végétarien (couscoussier),6.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Couscous végétarien facile,27.0,ail,5.0,0.01,73.0,17.2,3.14,0.0385,0.835,0.0055000000000000005,0.1215
Couscous végétarien facile,27.0,carotte,125.0,0.02375,98.5,23.625,3.25,0.125,0.6875,0.06375,1.625
Couscous végétarien facile,27.0,courgette,100.0,0.1,64.9,15.5,1.4,0.36,0.93,0.098,1.39
Couscous végétarien facile,27.0,curcuma,18.75,0.345,228.75,54.5625,8.325,0.609375,1.815,0.012750000000000001,0.601875
